Episode,Q-table
320,"[[[-1.69021065e+01 -1.43303932e+01 -1.68736541e+01 -1.23443471e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.23170656e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.71735635e+00 -1.52899470e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.94674309e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -1.40725697e+00 -8.29050142e+00  2.10857415e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.37596030e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  7.33437748e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.43510538e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.30571759e+01 -6.19880879e-01  6.42854606e+00]
  [ 4.44394153e+00  4.25474313e+00  1.29343393e+00  1.90069823e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.76022056e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.13802913e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
321,"[[[-1.69021065e+01 -1.43303932e+01 -1.68736541e+01 -1.23438190e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.23170656e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.72030521e+00 -1.52899470e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.92704082e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -1.40725697e+00 -8.29050142e+00  2.16587728e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.37596030e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.57002483e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.33509395e+01 -6.19880879e-01  6.42854606e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.94935267e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.76022056e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
322,"[[[-1.69021065e+01 -1.43303932e+01 -1.68736541e+01 -1.23247567e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.23170656e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.68318314e+00 -1.52899470e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.82982061e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -1.40725697e+00 -8.29050142e+00  2.37540693e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.37596030e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  8.00304104e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.33509395e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.94935267e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
323,"[[[-1.69021065e+01 -1.43303932e+01 -1.68736541e+01 -1.22694084e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.23170656e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.57478652e+00 -1.52899470e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.59999202e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.37540693e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  8.00304104e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.33231498e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.93819977e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
324,"[[[-1.69021065e+01 -1.43303932e+01 -1.68736541e+01 -1.22555386e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.23170656e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.56875378e+00 -1.52899470e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.62038438e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.37775082e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.93613910e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.32915822e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.92871980e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
325,"[[[-1.69021065e+01 -1.43303932e+01 -1.68736541e+01 -1.23124714e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.23170656e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.56665998e+00 -1.54802322e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.64104646e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.37238402e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.87381489e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.32579952e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.92066183e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
326,"[[[-1.69021065e+01 -1.40571445e+01 -1.68736541e+01 -1.23124714e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.13337430e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.56665998e+00 -1.54802322e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.66225614e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.36094954e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.81571912e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.32237050e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.91381256e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
327,"[[[-1.69021065e+01 -1.40571445e+01 -1.68736541e+01 -1.22961141e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.13337430e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.57142708e+00 -1.54802322e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.68413951e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.34482933e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.76157648e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.31896782e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.90799067e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
328,"[[[-1.69021065e+01 -1.40571445e+01 -1.68736541e+01 -1.22841870e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.13337430e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.57892526e+00 -1.54802322e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.70671290e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.32518199e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.71116049e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.31566073e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.90304207e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
329,"[[[-1.69021065e+01 -1.40571445e+01 -1.68736541e+01 -1.22762532e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.13337430e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.58881450e+00 -1.54802322e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.72991593e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.30297483e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.66427580e+00 -3.04488624e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.31249712e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.89883576e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
330,"[[[-1.69021065e+01 -1.40571445e+01 -1.68736541e+01 -1.22685593e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.13337430e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.59373671e+00 -1.54802322e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.73882408e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.28427283e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.62074617e+00 -3.02276177e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.30950835e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.89526040e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
331,"[[[-1.69021065e+01 -1.40571445e+01 -1.68736541e+01 -1.22668170e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.13337430e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.60728220e+00 -1.54802322e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.76476842e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.25842687e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.58040645e+00 -3.02276177e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.30671315e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.89222134e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
332,"[[[-1.69021065e+01 -1.40571445e+01 -1.68736541e+01 -1.22680565e+01]
  [-1.23672318e+01 -1.20794784e+01 -1.19662845e+01 -8.13337430e+00]
  [-9.23519896e+00 -7.49569534e+00 -7.55306792e+00 -3.76563194e+00]
  [-4.59478434e+00 -4.39355710e+00 -4.07509683e+00 -3.93097659e+00]
  [-2.64681598e+00 -2.11337908e+00 -2.73268721e+00 -1.90525178e+00]]

 [[-1.21563953e+01 -7.62249129e+00 -1.54802322e+01 -1.03893824e+01]
  [-1.06065771e+01 -2.79070930e+00 -1.20113576e+01 -4.75735824e+00]
  [-7.41090336e+00 -9.50709579e-01 -8.29050142e+00  2.23214904e+00]
  [-2.75754506e+00 -2.64158408e+00 -2.93470516e+00  6.55887505e+00]
  [-1.42801350e+00 -1.42589392e+00 -1.42293456e+00  8.42382442e+00]]

 [[-8.42010966e+00 -4.61129532e+00 -7.88207798e+00 -7.86597764e+00]
  [-6.46149803e+00  2.36388431e+00 -5.45776231e+00 -5.98306244e+00]
  [-3.67453144e+00  7.54309757e+00 -3.02276177e+00 -7.23399911e-01]
  [ 1.65342934e-02  1.30412070e+01 -6.19880879e-01  7.30435880e+00]
  [ 4.44394153e+00  4.25474313e+00  1.91205493e+00  1.88963814e+01]]

 [[-5.46684121e+00 -5.21896830e+00 -5.88492376e+00 -5.23037379e+00]
  [-5.60754724e+00 -3.94168943e+00 -2.92929075e+00 -2.83409220e+00]
  [-2.50644467e+00 -4.43783100e-01 -2.56240818e+00  4.52637942e+00]
  [-2.66801724e+00  1.77743748e+01 -1.42856838e+00 -1.42068971e+00]
  [ 7.27095775e+00  1.24857476e+01  1.13690864e+01  2.50000000e+01]]

 [[-3.14522607e+00 -2.65141418e+00 -2.86457801e+00 -2.83791257e+00]
  [-1.42846620e+00  1.70776955e+00 -2.77101970e+00 -2.77553853e+00]
  [-1.48356698e+00  1.36979302e+01 -1.39363858e+00 -9.75516898e-01]
  [-1.12686920e+00  2.24307583e+01 -1.42421978e+00  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
