Episode,Action Sequence,Total Reward,Steps Taken,Q-Table
141,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.96000745 -2.33537493 11.35379321]
  [-2.39979342 -2.19927018 -2.20547433 -1.81521375]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  0.19033069 13.04772319]
  [-1.64506231  1.56864216 -1.7028651  -1.43502893]
  [-1.29777845  6.77025358 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 12.7786302 ]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.80708446  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.64926699]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 17.93738567]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58113496]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3065736  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.93884383]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61238198  7.43903532 -0.75      ]
  [ 5.74154701 22.74998674  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999886 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
142,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.96000745 -2.33537493 11.36002479]
  [-2.39979342 -2.19927018 -2.20547433 -1.81521375]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  0.19033069 13.05057424]
  [-1.64506231  1.56864216 -1.7028651  -1.43502893]
  [-1.29777845  6.77025358 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 12.7786302 ]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.80854234  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.64968867]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 17.93738567]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58122915]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3065736  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.93884383]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.6123978   7.43903532 -0.75      ]
  [ 5.74154701 22.74998856  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999903 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
143,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.96000745 -2.33537493 11.3657279 ]
  [-2.39979342 -2.19927018 -2.20547433 -1.81521375]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  0.19033069 13.05320539]
  [-1.64506231  1.56864216 -1.7028651  -1.43502893]
  [-1.29777845  6.77025358 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 12.7786302 ]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.80984162  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65006052]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 17.93738567]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58131147]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3065736  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.93884383]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.6124115   7.43903532 -0.75      ]
  [ 5.74154701 22.74999014  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999918 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
144,"[np.int64(3), 2, np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",16,10,"[[[-5.02498624 -2.96000745 -2.33537493 11.37538968]
  [-2.39979342 -2.19927018 -2.20547433 -1.81521375]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  1.63214153 13.05562701]
  [-1.64506231  1.56864216 -1.7028651  -1.43502893]
  [-1.29777845  6.77025358 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 12.7786302 ]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.810999    3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65038833]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 17.93738567]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58138338]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3065736  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.93884383]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61242337  7.43903532 -0.75      ]
  [ 5.74154701 22.7499915   3.19309557  3.9566535 ]
  [ 2.50563942 24.9999993  10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
145,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.96000745 -2.33537493 11.37950808]
  [-2.39979342 -2.19927018 -2.20547433 -1.81521375]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  1.63214153 13.05785032]
  [-1.64506231  1.56864216 -1.7028651  -1.43502893]
  [-1.29777845  6.77025358 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 12.7786302 ]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81202949  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65067721]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 17.93738567]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58144621]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3065736  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.93884383]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61243365  7.43903532 -0.75      ]
  [ 5.74154701 22.74999268  3.19309557  3.9566535 ]
  [ 2.50563942 24.9999994  10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
146,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), 1]",18,8,"[[[-5.02498624 -2.96000745 -2.33537493 11.38332553]
  [-2.39979342 -2.19927018 -2.20547433 -1.81521375]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  1.63214153 13.05988697]
  [-1.64506231  1.56864216 -1.7028651  -1.43502893]
  [-1.29777845  6.77025358 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 12.7786302 ]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81294657  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65093171]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 17.93738567]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58150107]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3065736  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.93884383]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61244256  7.43903532 -0.75      ]
  [ 5.74154701 22.74999369  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999949 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
147,"[1, np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[[-5.02498624 -2.92467429 -2.33537493 11.38332553]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  1.63214153 13.05988697]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81294657  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65093171]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58150107]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61244256  7.43903532 -0.75      ]
  [ 5.74154701 22.74999369  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999949 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
148,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.92467429 -2.33537493 11.3868606 ]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  1.63214153 13.06174881]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81376235  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65115586]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58154898]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61245028  7.43903532 -0.75      ]
  [ 5.74154701 22.74999456  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999957 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
149,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.92467429 -2.33537493 11.39013071]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  1.63214153 13.06344763]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81448771  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65135321]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58159079]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61245696  7.43903532 -0.75      ]
  [ 5.74154701 22.74999532  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999963 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
150,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.92467429 -2.33537493 11.39315239]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[-0.36436771 -1.90516174  1.63214153 13.06499498]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81513239  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65152692]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58162729]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61246275  7.43903532 -0.75      ]
  [ 5.74154701 22.74999597  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999969 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
151,"[np.int64(3), 0, np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",13,9,"[[[-5.02498624 -2.92467429 -2.33537493 11.39594132]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 0.80204923 -1.90516174  1.63214153 13.0664021 ]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81570511  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65167977]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58165914]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61246776  7.43903532 -0.75      ]
  [ 5.74154701 22.74999653  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999974 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
152,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.92467429 -2.33537493 11.39851242]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 0.80204923 -1.90516174  1.63214153 13.06767976]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81621371  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65181423]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58168692]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.6124721   7.43903532 -0.75      ]
  [ 5.74154701 22.74999701  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999978 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
153,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.92467429 -2.33537493 11.40087992]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 0.80204923 -1.90516174  1.63214153 13.06883825]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81666518  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65193248]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  4.44632292  4.77263216 18.58171116]
  [-0.61251787  2.58050655 -0.50978474 16.60935167]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61247586  7.43903532 -0.75      ]
  [ 5.74154701 22.74999743  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999981 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
154,"[np.int64(3), 0, np.int64(3), np.int64(1), np.int64(3), 1, np.int64(3), np.int64(1), np.int64(1)]",13,9,"[[[-5.02498624 -2.92467429 -2.33537493 11.40305739]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 1.7940513  -1.90516174  1.63214153 13.0698873 ]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81706579  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65203645]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  5.9962071   4.77263216 18.58171116]
  [-0.61251787  2.58050655 -0.50978474 17.20982355]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        4.42319721 -0.82262341 -1.408875  ]
  [-0.40889459 20.61247586  7.43903532 -0.75      ]
  [ 5.74154701 22.74999779  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999984 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
155,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), 0, np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",16,10,"[[[-5.02498624 -2.92467429 -2.33537493 11.40505772]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 1.7940513  -1.90516174  1.63214153 13.07083608]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81742111  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65212482]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  5.9962071   4.77263216 18.5817323 ]
  [-0.61251787  2.58050655 -0.50978474 17.20982355]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        6.54699544 -0.82262341 -1.408875  ]
  [ 0.1327452  20.61247917  7.43903532 -0.75      ]
  [ 5.74154701 22.7499981   3.19309557  3.9566535 ]
  [ 2.50563942 24.99999986 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
156,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.92467429 -2.33537493 11.4068932 ]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 1.7940513  -1.90516174  1.63214153 13.07169318]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81773573  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65220295]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  5.9962071   4.77263216 18.58175073]
  [-0.61251787  2.58050655 -0.50978474 17.20982355]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        6.54699544 -0.82262341 -1.408875  ]
  [ 0.1327452  20.61248202  7.43903532 -0.75      ]
  [ 5.74154701 22.74999836  3.19309557  3.9566535 ]
  [ 2.50563942 24.99999988 10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
157,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[-5.02498624 -2.92467429 -2.33537493 11.4085755 ]
  [-2.39979342 -2.19927018 -2.20547433 -1.46940018]
  [-1.59982009 -1.15725018 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    1.53925251]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 1.7940513  -1.90516174  1.63214153 13.07246654]
  [-1.64506231  2.14810697 -1.7028651  -1.43502893]
  [-1.29777845  7.42567034 -1.13003398 -0.89049869]
  [-0.77255948 -0.67158462 -0.94548223 13.26791313]
  [-0.6086113  -1.45958906 -0.59328369 -0.34073633]]

 [[ 0.04963397 14.81801429  3.10693636 -0.56932978]
  [-1.2196728   0.15385849 -1.42345137 16.65227199]
  [-0.78658965 -0.66604122 -0.42298162  5.81907814]
  [-0.59030495 -0.41029594  1.01459427 18.27546455]
  [-0.298875   -0.75       -0.33825844  6.68148243]]

 [[-1.494375    7.45395209 -0.99069634 -0.94791429]
  [-0.11847289  5.9962071   4.77263216 18.58176681]
  [-0.61251787  2.58050655 -0.50978474 17.20982355]
  [-0.3879379  22.3643728  -0.07874293 -0.15      ]
  [ 0.64530013  4.14220018  0.25565927 24.94801726]]

 [[-0.75        6.54699544 -0.82262341 -1.408875  ]
  [ 0.1327452  20.61248448  7.43903532 -0.75      ]
  [ 5.74154701 22.74999859  3.19309557  3.9566535 ]
  [ 2.50563942 24.9999999  10.68212207  5.19774355]
  [ 0.          0.          0.          0.        ]]]"
