Episode,Action Sequence,Total Reward,Steps Taken,Q-Table
90,"[2, np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",13,9,"[[[ 1.82547607e+00  1.46455115e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.55696858e+01  3.56068971e+00  1.02563892e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.66852659e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  7.28025052e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  8.92308576e-02  2.96890702e+00  1.82970458e+01]
  [ 1.93503815e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01 -3.14225875e-01  2.00714956e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.12340336e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.30031895e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999846e+01  3.73596586e+00  5.16739993e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
91,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), 2, np.int64(3), np.int64(3), np.int64(3), np.int64(1), 3, np.int64(1)]",11,11,"[[[ 1.82547607e+00  1.45749986e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.56910196e+01  3.56068971e+00  1.02563892e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.71676581e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  7.28025052e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  8.92308576e-02  2.96890702e+00  1.92236941e+01]
  [ 1.93503815e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  2.09764437e+00  2.01192559e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.16185282e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.39329687e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999869e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
92,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 1.82547607e+00  1.44268270e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.55901941e+01  3.56068971e+00  1.02563892e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.70759448e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  7.28025052e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  8.92308576e-02  2.96890702e+00  1.90006604e+01]
  [ 1.93503815e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  2.09764437e+00  2.00003642e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.15519100e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.37555224e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999889e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
93,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), 2, np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",16,10,"[[[ 1.82547607e+00  1.43961414e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.57201641e+01  3.56068971e+00  1.02563892e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.74657911e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  7.28025052e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  8.92308576e-02  2.96890702e+00  1.94904481e+01]
  [ 1.93503815e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  4.15821532e+00  1.98885542e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.14826416e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.36046933e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999906e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
94,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 1.82547607e+00  1.42884330e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.56392999e+01  3.56068971e+00  1.02563892e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.73358651e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  7.28025052e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  8.92308576e-02  2.96890702e+00  1.92010876e+01]
  [ 1.93503815e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  4.15821532e+00  1.97834758e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.14130170e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.34764886e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999920e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
95,"[np.int64(1), 3, np.int64(1), 1, np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",16,10,"[[[ 1.82547607e+00  1.50320167e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.56392999e+01  3.56068971e+00  2.72721440e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.73358651e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  9.31811498e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  1.23396152e+00  2.96890702e+00  1.89432270e+01]
  [ 4.10845363e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  4.15821532e+00  1.96848595e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.13447015e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.33675147e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999932e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
96,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 1.82547607e+00  1.48075069e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.55375999e+01  3.56068971e+00  2.72721440e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.71755160e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  9.31811498e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  1.23396152e+00  2.96890702e+00  1.87129552e+01]
  [ 4.10845363e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  4.15821532e+00  1.95924801e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.12788689e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.32748870e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999942e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
97,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 1.82547607e+00  1.45991951e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.54296130e+01  3.56068971e+00  2.72721440e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.70179204e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  9.31811498e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  1.23396152e+00  2.96890702e+00  1.85069251e+01]
  [ 4.10845363e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  4.15821532e+00  1.95061322e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.12163116e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.31961536e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999951e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
98,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 1.82547607e+00  1.44047684e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.53174713e+01  3.56068971e+00  2.72721440e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.68647553e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  9.31811498e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  1.23396152e+00  2.96890702e+00  1.83222643e+01]
  [ 4.10845363e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  4.15821532e+00  1.94256146e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.11575281e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.31292302e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999958e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
99,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 1.82547607e+00  1.42224200e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.52030022e+01  3.56068971e+00  2.72721440e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.67172269e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  9.31811498e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  1.23396152e+00  2.96890702e+00  1.81565005e+01]
  [ 4.10845363e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  4.15821532e+00  1.93507214e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.11027939e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.30723454e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999964e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
100,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 1.82547607e+00  1.40507418e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.50877538e+01  3.56068971e+00  2.72721440e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.65761681e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  9.31811498e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  1.23396152e+00  2.96890702e+00  1.80074982e+01]
  [ 4.10845363e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  4.15821532e+00  1.92812372e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.10522168e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.30239933e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999970e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
101,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 1.82547607e+00  1.38886373e+01 -4.75582271e-01 -2.16356012e+00]
  [ 1.04200500e+00  1.49730208e+01  3.56068971e+00  2.72721440e+00]
  [ 2.36417592e+00 -9.12747675e-01  5.19078807e+00  1.64421178e+01]
  [-8.36960283e-01 -5.34299653e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00  2.59476815e-01]]

 [[-1.64719617e+00 -9.52396473e-01 -1.61006526e+00 -8.79284615e-01]
  [-8.70098768e-01  9.31811498e+00 -8.74967912e-01 -8.10196185e-01]
  [ 2.04327298e+00  1.23396152e+00  2.96890702e+00  1.78734065e+01]
  [ 4.10845363e+00 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  1.35649230e+00]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  3.45987963e+00 -6.13863859e-01 -6.17677471e-01]
  [ 8.58208113e-01 -2.92147213e-01  4.15821532e+00  1.92169356e+01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  3.59593820e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01  7.15488456e+00]
  [ 3.58934629e+00 -2.86180415e-01  9.15933570e+00  2.10057812e+01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  9.94224304e+00]
  [ 1.77366884e+00  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01  1.38498579e+01 -5.01252183e-01  9.19731291e-01]
  [ 1.70242787e+00  2.29828941e+01  4.12338303e+00  2.52725609e+00]
  [ 7.51782492e+00  2.49999974e+01  3.73596586e+00  7.20478885e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
