Episode,Q-table
225,"[[[-18.13044895 -12.70784166 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351454]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -11.08372473 -14.14767976 -14.01605219]
  [-12.91781596  -9.35966077 -12.48927389  -3.27738297]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.94917292 -10.9796797  -10.350234  ]
  [-10.44355454  -7.39580868  -7.88203681   1.81328123]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704  -0.83747998  -5.26866007   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.49017928]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -2.16450749   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
226,"[[[-18.13044895 -12.70784123 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351443]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -11.08372473 -14.14767976 -14.01605219]
  [-12.91781596  -9.35966077 -12.48927389  -3.27738295]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.94917292 -10.9796797  -10.350234  ]
  [-10.44355454  -7.39580868  -7.88203681   1.81328124]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704  -0.83747998  -5.26866007   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.49017928]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -2.16450749   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
227,"[[[-18.13044895 -12.70784085 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351434]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -11.08372473 -14.14767976 -14.01605219]
  [-12.91781596  -9.35966077 -12.48927389  -3.27738293]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.94917292 -10.9796797  -10.350234  ]
  [-10.44355454  -7.39580868  -7.88203681   1.81328124]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704  -0.83747998  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.49017928]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -2.16450749   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
228,"[[[-18.13044895 -12.70784052 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351425]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.63819309 -14.14767976 -14.01605219]
  [-13.30957434  -9.35966077 -12.48927389  -3.27738292]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.94917292 -10.9796797  -10.350234  ]
  [-10.44355454  -7.39580868  -7.88203681   1.81328124]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704  -0.83747998  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.49017928]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -2.16450749   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
229,"[[[-18.13044895 -12.70784022 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351418]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.63819309 -14.14767976 -14.01605219]
  [-13.30957434  -9.35966077 -12.48927389  -3.2773829 ]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328124]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.53852739]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -2.16450749   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
230,"[[[-18.13044895 -12.70783996 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351412]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.63819309 -14.14767976 -14.01605219]
  [-13.30957434  -9.35966077 -12.48927389  -3.27738289]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328124]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.53852739]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -2.16450749   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
231,"[[[-18.13044895 -12.70783973 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351406]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.63819309 -14.14767976 -14.01605219]
  [-13.30957434  -9.35966077 -12.48927389  -3.27738288]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328124]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.53852739]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -2.16450749   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
232,"[[[-17.97174877 -12.70783952 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351401]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.63819309 -14.14767976 -14.01605219]
  [-13.30957434  -9.35966077 -12.48927389  -3.27738287]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.53852739]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -2.16450749   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
233,"[[[-17.97174877 -12.70783934 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351397]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.63819309 -14.14767976 -14.01605219]
  [-13.30957434  -9.35966077 -12.48927389  -3.27738286]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.53852739]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -2.16450749   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
234,"[[[-17.97174877 -12.70783918 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351393]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.63819309 -14.14767976 -14.01605219]
  [-13.30957434  -9.35966077 -12.48927389  -3.27738285]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.57962328]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -0.80309121   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
235,"[[[-17.97174877 -12.70783904 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.1135139 ]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.63819309 -14.14767976 -14.01605219]
  [-13.30957434  -9.35966077 -12.48927389  -3.27738285]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.57962328]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -0.80309121   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
236,"[[[-17.97174877 -12.70783891 -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351387]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.25949118 -14.14767976 -14.01605219]
  [-13.5790807   -9.35966077 -12.48927389  -3.27738284]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.57962328]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -0.80309121   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
237,"[[[-17.8368535  -12.7078388  -17.55806331 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351384]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.25949118 -14.14767976 -14.01605219]
  [-13.5790807   -9.35966077 -12.48927389  -3.27738284]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.57962328]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.22910822   3.34141387]
  [  3.22118207  18.75        -0.80309121   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
238,"[[[-17.8368535  -12.70783862 -17.48522083 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351379]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.25949118 -14.58639481 -14.01605219]
  [-13.75419609  -9.35966077 -12.52205853  -3.27738284]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.57962328]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.46673418   3.34141387]
  [  3.22118207  18.75        -0.80309121   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
239,"[[[-17.8368535  -12.70783854 -17.48522083 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351377]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.25949118 -14.58639481 -14.01605219]
  [-13.75419609  -9.35966077 -12.52205853  -3.27738283]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.57962328]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.46673418   3.34141387]
  [  3.22118207  18.75        -0.80309121   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
240,"[[[-17.8368535  -12.70783847 -17.48522083 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351376]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.25949118 -14.58639481 -14.01605219]
  [-13.75419609  -9.35966077 -12.52205853  -3.27738283]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.57962328]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.46673418   3.34141387]
  [  3.22118207  18.75        -0.80309121   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
241,"[[[-17.8368535  -12.70783841 -17.48522083 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351375]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.25949118 -14.58639481 -14.01605219]
  [-13.75419609  -9.35966077 -12.52205853  -3.27738283]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.57962328]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.46673418   3.34141387]
  [  3.22118207  18.75        -0.80309121   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
242,"[[[-17.8368535  -12.70783836 -17.48522083 -17.78739395]
  [-15.46578236 -14.27780387 -13.76615646  -8.11351374]
  [-11.17626828 -10.43731992 -10.67814546  -9.06534067]
  [ -7.64630661  -7.66782237  -7.86027564  -7.42607697]
  [ -6.24201534  -5.74268558  -5.84484048  -5.80375975]]

 [[-14.53038211 -10.25949118 -14.58639481 -14.01605219]
  [-13.75419609  -9.35966077 -12.52205853  -3.27738283]
  [ -8.28726873  -7.6680584   -8.43929641  -1.84013941]
  [ -4.99850457  -5.10177968  -5.42781758  -2.54877007]
  [ -3.76313149  -3.6941703   -4.0272295   -1.86424015]]

 [[-10.75973155  -6.39840441 -10.9796797  -10.350234  ]
  [-10.6172785   -7.39580868  -7.88203681   1.81328125]
  [ -4.63975245  -4.52336886  -5.70643658   5.37723911]
  [ -2.23316719  -2.51869301  -2.48129687   6.19839375]
  [ -1.494375    -1.494375    -1.69129219   7.52598754]]

 [[ -7.25187165  -3.14226415  -8.91622241  -6.98351082]
  [ -7.69572704   0.31799256  -4.96996848   7.171875  ]
  [ -3.77109401  -0.35413708  -2.4950334   12.57962328]
  [ -0.41492308   0.50664357  -0.856875    17.99714405]
  [ -1.17377143  -0.75        -0.856875    20.81641891]]

 [[ -5.13334054  -0.70190213  -5.48895258  -5.13334054]
  [ -5.40609463  12.8125       0.46673418   3.34141387]
  [  3.22118207  18.75        -0.80309121   7.66865765]
  [  9.07200141  25.           7.7993399   11.67827411]
  [  0.           0.           0.           0.        ]]]"
